aa_ID,aa_DOI,aa_URL,datafile_name
3108,10.1257/aer.104.7.2075,https://www.aeaweb.org/aer/data/10407/20090634_data.zip,aer_104_7_2075_data.zip
3331,10.1257/aer.104.10.3073,https://www.aeaweb.org/aer/data/10410/20121418_data.zip,aer_104_10_3073_data.zip
3501,10.1257/jep.28.4.3,https://www.aeaweb.org/jep/data/2804/28040003_data.zip,jep_28_4_3_data.zip
3761,10.1257/aer.20110683,https://www.aeaweb.org/aer/data/10503/20110683_data.zip,aer_20110683_data.zip
3836,10.1257/mac.20130322,https://www.aeaweb.org/aej/mac/data/0702/2013-0322_data.zip,mac_20130322_data.zip
4157,10.1257/aer.20110035,https://www.aeaweb.org/aer/data/10506/20110035_data.zip,aer_20110035_data.zip
4464,10.1257/aer.20120549,https://www.aeaweb.org/aer/data/10510/20120549_data.zip,aer_20120549_data.zip
4575,10.1257/aer.20150443,https://www.aeaweb.org/aer/data/10512/20150443_data.zip,aer_20150443_data.zip
4804,10.1257/aer.20130957,https://www.aeaweb.org/aer/data/10604/20130957_data.zip,aer_20130957_data.zip
4825,10.1257/app.20140473,https://www.aeaweb.org/aej/app/data/0802/2014-0473_data.zip,app_20140473_data.zip
5292,10.1257/pol.20140011,https://www.aeaweb.org/aej/pol/data/0802/2014-0011_data.zip,pol_20140011_data.zip
5782,10.1257/aer.20141529,/aer/data/10607/20141529_data.zip,aer_20141529_data.zip
5973,10.1257/jep.30.3.249,,jep_30_3_249_data.zip
6186,10.1257/aer.20150237,/content/file?id=2387,aer_20150237_data.zip
6551,10.1257/aer.20150342,/content/file?id=2954,aer_20150342_data.zip
7327,10.1257/aer.p20171053,/content/file?id=4474,aer_p20171053_data.zip
7527,10.1257/aer.20121186,/content/file?id=4819,aer_20121186_data.zip
7920,10.1257/aer.20161214,/content/file?id=5513,aer_20161214_data.zip
8286,10.1257/mac.20170061,/content/file?id=5986,mac_20170061_data.zip
8287,10.1257/mac.20160202,/content/file?id=5987,mac_20160202_data.zip
8291,10.1257/aer.20150796,/content/file?id=6075,aer_20150796_data.zip
8576,10.1257/aer.20160042,/content/file?id=6538,aer_20160042_data.zip
8680,10.1257/mac.20160236,/content/file?id=6669,mac_20160236_data.zip
